,0,1,2,3,4,5,6,7
19,6.7,No tiene datos,Edward Zwick,Charles Randolph,"En el Pittsburgh de los años 90, un vendedor de medicamentos inicia una relación con una joven que padece la enfermedad de Parkinson.",112,Amor y otras drogas,tt0758752
20,5.6,No tiene datos,Thomas D. Thompson,"Brandon Williford, Sabine Buchanan, Scott Reus","An obsolete cargo ship, its alcoholic captain, and his crew of odd balls and malcontents serve as the United Earth Star Fleet Command's only hope of averting a major intergalactic incident.",78,Waste of Space,tt0765485
21,7.4,No tiene datos,Chris Hummel,"Holly Payberg-Torroija, Steve Ruff, Vicki Ruff",The con man gets conned in this family friendly action-comedy about finding your inner superhero.,88,The Guardians,tt0800054
22,7.1,No tiene datos,Anna Boden,Anna Boden,Un adolescente clínicamente deprimido comienza de nuevo después de ingresar a una sala de psiquiatría para adultos.,101,Una historia casi divertida,tt0804497
23,5.0,No tiene datos,Michael Lembeck,Lowell Ganz,Una mala acción por parte de un duro jugador de hockey de ligas menores resulta en una sentencia inusual: debe servir una semana como un hada de los dientes en la vida real.,101,Rompedientes,tt0808510
24,3.4,No tiene datos,Daniel De Felippo,Daniel De Felippo,When Jack and Aurora met they'll rely on their friends as a case mistaken identity leads them on an adventure teaching them that it's who you are on the inside that matters most.,80,Plumíferos - Aventuras voladoras,tt0811021
25,6.4,No tiene datos,Jim Field Smith,Sean Anders,"Joe, un hombre ordinario, conoce a la mujer perfecta, pero su falta de confianza y la influencia de sus amigos y familia erosionan la relación.",104,Ni en sueños,tt0815236
26,5.7,No tiene datos,Garry Marshall,Katherine Fugate,Parejas y solteros de Los Ángeles rompen y vuelven a estar juntos por culpa de las presiones y expectativas del Día de San Valentín.,125,Historias de San Valentín,tt0817230
27,7.7,No tiene datos,Rob Reiner,Rob Reiner,Dos estudiantes de secundaria empiezan a sentirse atraídos el uno por el otro a pesar de ser polos opuestos.,90,Mi primer amor,tt0817177
28,6.2,No tiene datos,Leon Cowan,"Ben April, Michael Brabec, Leon Cowan",The disastrous sequel to The Beast of Yucca Flats. Why? Why not?,79,Return to Yucca Flats: Desert Man-Beast,tt0826532
29,7.0,No tiene datos,Lisa Cholodenko,Lisa Cholodenko,Dos niños concebidos por inseminación artificial llevan a su padre biológico a conocer su poco habitual vida familiar.,106,Los chicos están bien,tt0842926
30,4.3,No tiene datos,Dean Bajramovic,Dean Bajramovic,A Tokyo cyber-punk Yakuza and a Bosnian mob enforcer team up to smuggle a toilet made of pure heroin to New York City. It's worth millions - if they can find somebody who can decipher the Japanese chemistry formula.,95,Gangster Exchange,tt0846004
31,5.6,No tiene datos,Murali Nagavally,Farhad Bhiwandiwala,No tiene datos,No tiene datos,Fauj Mein Mauj,tt0847735
32,3.1,9,Tim Sullivan,Chris Kobin,"When this year's round of unsuspecting Northerners fail to show up for their annual Guts N' Glory Jamboree, the residents of Pleasant Valley take their cannibalistic carnival on the road, and head to Iowa, where they encounter spoiled heiresses Rome and Tina Sheraton, and the cast and crew of their ""Road Rascals"" reality show. Performing ""The Bloodiest Show on Earth"",... Leer todo",84,2001 Maniacs: Field of Screams,tt0858411
33,5.8,No tiene datos,Robert Young,Hugh Janes,"A black comedy about an old rogue named Wally, who breaks all the rules to fulfill an old friends dying wish to be buried at sea.",88,Wide Blue Yonder,tt0858500
34,5.0,No tiene datos,Luis Barone,"Luis Barone, Juan Sasturain, Jesús de la Vega","Set in a decaying Buenos Aires, a poor Argentine (Minujin) wrestles with his newly discovered superpowers.",103,Zenitram,tt0861747
35,8.6,No tiene datos,Alpesh Patel,Alpesh Patel,"TOUCH WOOD is an outrageous mockumentary about an Indian movie producer Mr. Moto, who was once a hotshot movie producer in Bollywood (India). But his ultimate dream was to become a big time movie producer in Hollywood. Figuring that his fame would effortlessly carry over into Tinseltown, he set off to America some twenty odd years ago. Much to his dismay, he was unsuc... Leer todo",No tiene datos,Touch Wood,tt0870208
36,6.6,No tiene datos,Nicole Holofcener,Nicole Holofcener,"En la ciudad de Nueva York, un marido y su mujer se enfrentan con las nietas de la anciana que vive en el apartamento que posee la pareja.",87,Encuentros en Nueva York,tt0878835
37,7.5,No tiene datos,Jeremy Osbern,Chris Blunk,"Three musical stories of people who feel out of place in the world, and of their longing to find a connection with someone else. A middle-aged African American sings to a new love in a country/western bar, a young goth girl sings a '50s-style ballad as she wanders the streets with a broken heart, and a punk croons a modern doo-wop at a punk-rock show.",100,AIR: The Musical,tt0882741
38,3.8,78,Benjamin Gourley,Benjamin Gourley,"Leon and TJ are best friends and repo men. After ten years, with a high school reunion looming, Leon wants out of the repo business. TJ has concocted a hair-brained scheme to steal all the cars they've repoed. When the plan fails, it falls to Leon to save TJ from his own plan.",97,Repo,tt0887161
39,6.1,No tiene datos,Josh Gordon,Jeffrey Eugenides,"Siete años después del hecho, un hombre se da cuenta de que él fue el donante de esperma para el hijo de su mejor amigo.",101,Un pequeño cambio,tt0889573
40,6.5,No tiene datos,Gary Winick,Jose Rivera,"Sophie sueña con convertirse en escritora. Viaja a Verona, donde descubre una plaza en la que la gente deja cartas de amor no correspondido.",105,Cartas a Julieta,tt0892318
41,6.3,No tiene datos,Mike Mitchell,Josh Klausner,Rumpelstiltskin engaña a un Shrek agobiado por su crisis de mediana edad para que se borre a si mismo de la existencia y se lance en una oscura línea temporal alternativa donde Rumpel gobierna supremamente.,93,"Shrek, felices para siempre",tt0892791
42,8.1,No tiene datos,Dean DeBlois,William Davies,"Un desventurado joven vikingo, que aspira a cazar dragones, se convierte en el improbable amigo de un joven dragón, y aprende que puede haber más en las criaturas de lo que suponía.",98,Cómo entrenar a tu dragón,tt0892769
43,6.9,No tiene datos,Griff Furst,Alex Yves,A comedy about a young man from Switzerland who travels to Los Angeles to escape his dead-end life and to reconnect with a female pen pal with whom he has lost touch. Everything falls apart when the pen pal turns out to be a complete fraud and he is reunited with an old friend (a real trouble magnet) who keeps pulling him into the most awkward situations. The story ta... Leer todo,95,Movin' In,tt0910926
44,5.3,44,Edward McHenry,"Edward Mc, Henry",A satirical alternative history of World War II where the Nazis seize London and England must band together to prevent a full-on invasion.,91,Jackboots on Whitehall,tt0915463
45,6.7,No tiene datos,Antoinette Beumer,"Marnie Blok, Karin van Holst Pellekaan, Heleen van Royen","After giving birth to her first child, a happily-married woman sees her picture-perfect life spiral out of control.",100,De gelukkige huisvrouw,tt0920459
46,6.7,No tiene datos,Robert Rothbard,Tony Devon,A sickly Mob Don's obsession that a pizza parlor owner is his missing long lost son.,99,Pizza with Bullets,tt0924266
47,3.5,9,Chris Levitus,Kyle Kramer,Tres amigos de toda la vida que viven en un ático se encuentran en desacuerdo cuando uno de ellos intenta mudarse con su novia y la hermana pequeña de otro hace una visita sorpresa.,89,The Penthouse,tt0929618
48,6.8,No tiene datos,Scott Buchanan,"Dale Buchanan, Scott Buchanan","As Los Angeles grew to a population of over 5 million, crime was getting out of control. Budget cuts, low recruitment, and a rash of abuse lawsuits, left the LAPD unable to cope with the rising crime rate. In 2006 the city council passed proposition PSO357 authorizing PSO's (Private Security Officers) to handle all misdemeanor, infraction, and truancy cases. These are... Leer todo",84,Private Security Officer: Los Angeles,tt0960827
49,4.9,27,Guy J. Louthan,"Guy J. Louthan, Neil Monaghan","Made In Romania"" is the comedic story of a young producer who risks everything to try and break into more artistic productions. A financier agrees to finance the project but only if the production is filmed entirely in Romania.",95,Made in Romania,tt0963177
50,8.0,No tiene datos,Patrick Franklin,"Patrick Franklin, Robert J. Wagstaff","A fledgling filmmaker returns to his hometown to make a documentary about flowers and their significance at the major stages of human life. Obsessed with capturing reality, he is none too pleased when a sudden zombie uprising threatens his artistic vision. Unwilling to compromise, he resolves to shoot around the walking dead as if nothing unusual is actually happening... Leer todo",87,Pushin' Up Daisies,tt0964544
51,4.8,No tiene datos,Alfonso Arau,"Giovanna Cucinotta, Francesco Costa, Maria Grazia Cucinotta","1905, the cinematograph has reached Southern Italy, and casts fear among the people to whom it seems a devilish trick. They call it ""o 'imbroglie din t'o lenzuolo"" - ""The Trick in the Sheet"", as white sheets were used for screening.",105,La trampa de la luz,tt0965429
52,4.5,22,Rob Schneider,Boon Collins,A man finally finds faith in himself after the rest of world puts its faith in him; the sole being on earth who can save mankind from its own destruction - The Chosen One.,2010,The Chosen One,tt0970926
53,5.5,No tiene datos,Paul Weitz,Greg Glienna,"El patriarca familiar Jack Byrnes quiere nombrar un sucesor. ¿Tiene su yerno, el enfermero Greg Focker, lo que se necesita?",98,Ahora los padres son ellos,tt0970866
54,5.1,No tiene datos,Erik White,Abdul Williams,Kevin Carson is a young man living in the projects who has to survive a three-day weekend after his opportunistic neighbors find out he's holding a winning lottery ticket worth $370 million.,99,Lottery ticket,tt0979434
55,4.7,No tiene datos,Brooks Branch,Brooks Branch,"NYC, 1979: Gabriel and Annie's marriage is falling apart with only their daughter holding it together. Gabriel quits his architect job to become a playwright, writing about his life. Annie and Liz leave.",97,Múltiples sarcasmos,tt0984210
56,5.5,No tiene datos,Jim Fitzpatrick,Jim Fitzpatrick,A group of kids take down a motorcycle gang.,83,Adventure Scouts,tt0994917
57,7.3,73,Tom McGrath,Alan Schoolcraft,"El supervillano Megamind finalmente derrota a su némesis: el superhéroe Metro Man. Pero sin un héroe, pierde todo propósito y debe dar un nuevo sentido a su vida.",95,Megamind,tt1001526
58,7.3,No tiene datos,Donald Flaherty Fajardo,Donald Flaherty Fajardo,Four men discover the importance of friendship when one is faced with a life-altering decision.,91,The Steamroom,tt1008046
59,6.3,No tiene datos,James Mangold,Patrick O'Neill,Una joven es confundida por una espía caída en desgracia que está intentando limpiar su nombre.,109,Noche y día,tt1013743
60,5.1,No tiene datos,Kevin Munroe,Thomas Dean Donnelly,"Las aventuras del investigador privado sobrenatural, Dylan Dog, que busca a los monstruos del pantano de Luisiana con su característica camisa roja, chaqueta negra y vaqueros.",108,Dylan Dog: Los muertos de la noche,tt1013860
61,5.2,0,Kelly L. King,Nicole Abisinio,"A 20-something slacker girl meets a handsome rebel at her best friend's funeral. She partners up with him and through a series of cons, finds her path to independence and love.",93,Prime of Your Life,tt1016226
62,8.3,No tiene datos,Todd Edwards,"Todd Edwards, Peter Bedgood","It's been a rough couple of years for Alan Mangold, a tightly-wound professor in his 30's who dreams of a better life beyond his shoebox apartment... if only he could complete his opus, ""Orphan Bastard."" When his Nana dies, Alan and his better-half Amanda must post an internet ad at the university to find a student who will share the costs of the emergency cross-count... Leer todo",110,Jeffie Was Here,tt1019442
63,No tiene datos,No tiene datos,Juanjo Martínez,Juanjo Martínez,"In Buenos Aires, a beauty product turns people into zombies.",45,Piel de Lija,tt10229082
64,4.7,No tiene datos,Kenny Ortega,"Conor Lastowka, Michael J. Nelson, Sean Thomason","When Zac Efron starts singing and high schools start dancing, there's only one sane way watch: with a hilarious audio commentary from the guys at RiffTrax.",No tiene datos,RiffTrax: High School Musical,tt10263222
65,5.5,No tiene datos,Andy Tennant,Sarah Thorp,"Un cazador de recompensas descubre que su próximo objetivo es su mujer, una reportera que está investigando un caso de asesinato encubierto. Tras reencontrarse, se dan a la fuga para salvar sus vidas.",110,Exposados,tt1038919
66,5.0,37,Amit Gupta,Amit Gupta,"Tripp is an average frustrated chump, who comes up with a golden idea. He partners with Gary, a Wall Street wheeler and dealer, and brings his cousin, Rowan, on-board to help with his business. As Tripp and Rowan journey together for business, Tripp learns about Rowan's extraordinary skills- skills in attracting women. The duo realizes that business and relationships ... Leer todo",110,Let the Game Begin,tt1041778
67,4.7,No tiene datos,John Wesley Norton,John Wesley Norton,"An adept spoof of cinema's behind-the-scenes experiences, Not Another B Movie combines frightening and disgusting zombies with frightening and disgusting hack directions to tell a hilarious story! With a cast that includes Ed Asner, Joe Estevez and David Faustino, it's an insightful romp through the horror film industry and the horrors of the film industry.",87,Not Another B Movie,tt1043757
68,7.1,No tiene datos,Tarun Verma,Tarun Verma,Life is about figuring out who you are and making sense of the world around you. Life is about your friends helping you through the toughest obstacle of life love. Life is about realizing the beautiful world around you and having fun. and most of all...Its about acting way too sexy and way too weird because you can be!! Why? Because that's how it is nowadays... Aaj Ka... Leer todo,90,Aaj Kal,tt1047439
69,4.6,No tiene datos,Sam Harper,Sam Harper,"In order to enjoy his retirement, a father takes drastic measures to get his twentysomething, slacker sons to move out and fend for themselves.",84,House Broken,tt1054631
70,7.2,No tiene datos,Laís Bodanzky,"Luiz Bolognesi, Gilberto Dimenstein, Heloisa Prieto","Mano has to deal with adolescence dilemmas and his family destruction, after his father leaves their house.",100,Las mejores cosas del mundo,tt1054677
71,6.5,No tiene datos,Greg Berlanti,Ian Deitchman,Dos adultos solteros se convierten en cuidadores de una niña huérfana cuando sus mejores amigos comunes mueren en un accidente.,115,Como la vida misma,tt1055292
72,6.6,No tiene datos,Donovan Marsh,Donovan Marsh,"It's South Africa 1990. Two major events are about to happen: The release of Nelson Mandela and, more importantly, it's Spud Milton's first year at an elite boys only private boarding school.",103,Spud,tt1059969
73,5.6,No tiene datos,Jackson Douglas,Jeff Lewis,"When a priest learns his brother is dying of cancer, he dips into the church funds to help pay for the expensive treatments. Turns out his brother is in perfect health, and has used the money to fund production of a porno film.",90,For Christ's Sake,tt1067107
74,5.9,No tiene datos,John Birmingham,John Birmingham,"Paul Lewis is a high school senior in Zanzibar, VA with not a care in the world... or so it seems... until he finds out he is a half breed vampire. Together with his father and new girlfriend Laney, they must fight off evil vampires to save humankind in one intense night.",106,The Vampires of Zanzibar,tt1067090
75,6.2,37,Sergio Machado,"Jorge Amado, Sergio Machado",Friends of the recently deceased Quincas take their pal's body on one last tour of his favorite spots in Brazil's Bahia.,104,Quincas Berro d'Água,tt1068962
76,5.9,No tiene datos,Fina Torres,"Jorge Camacho, Julio Carrillo, Arturo Infante","A young seamstress in Havana with a dream of becoming a fashion designer, has to choose between the two men she loves - a suave foreign photographer, on a mysterious errand, and her loyal but laid back Cuban boyfriend who will, some day, build her a home.",106,Habana Eva,tt1069246
77,5.3,40,Jim Issa,Anthony Stephenson,"Etta's hopeless husband Chester, wannabe entrepreneur and liquor store owner, blows every nickel he makes on hare-brained get-rich inventions. She must take matters into her own hands to fulfill her dream of sending their kids to college.",84,Good Intentions,tt1070781
78,6.4,No tiene datos,Marcelo Laffitte,"José Carvalho, Marcelo Laffitte","In Copacabana, lesbian photographer Elvis is hired to deliver pizzas in the night shift on her motorcycle. Her first assignment is a delivery to the transvestite hairdresser Lady Madonna.",105,Elvis & Madona,tt1071211
79,5.0,43,Waleed Moursi,Sarah Louise Wilson,"Are you one of the millions still wondering why you life didn't turn out like a ""John Hughes"" Movie? ...Jelly is!",104,Jelly,tt1071877
80,4.6,33,Tamara Tunie,Joe Cilibrasi,Lindsay is abandoned by her therapist all August. All NYC therapists are on vacation. She complains on Craigslist - hundreds respond. Ten start a group (therapy session).,91,See You in September,tt1073246
81,5.6,No tiene datos,Jeff Dylan Graham,"Jeff Dylan Graham, Dan Casserole, J.T. Seaton","A severely traumatized man, suffering from a condition which causes him partial blindness and amnesia, seeks answers to the mystery of what really happened to him.",No tiene datos,Psychosomatika,tt1078591
82,5.9,43,Aaron Michael Metchik,Aaron Michael Metchik,"10 Years Later is a dark comedy about six childhood best friends returning home for their ten year high school reunion. When one of them kidnaps an enemy from their past and inadvertently gets the others involved, each must decide whether to turn in a best friend or become accomplices in a dark plot that none of them are sure they can pull off.",98,10 Years Later,tt1079974
83,5.2,43,Cyrill Boss,"Cyrill Boss, Philipp Stennert, Andreas Gaw",Jerry Cotton is the best agent of the FBI and suspected of murder. So he has to find the real killers of gangster boss Serrano.,90,Jerry Cotton,tt1080019
84,No tiene datos,No tiene datos,Zhengyu Lu,"Xiaodan Guo, Zhengyu Lu, Pipi Wu",No tiene argumento,96,Yi zhi gou de daxue shiguang,tt10912908
85,3.8,No tiene datos,Major Ravi,Major Ravi,Four kids spending their vacation in a small village find a wounded dog and decide to keep it. But the village has this strange superstition that dogs bring bad luck. What can they do?,85,Oru Avadhikaalam,tt10940482
86,6.1,No tiene datos,Lucas Blanco,"Lucas Blanco, Roberto Montini","The lives of four people weave together in unexpected ways without each of them realizing the effect their actions are having on the lives of the others. Each is searching for love while love may be staring them straight in the eye right, in this modern tale of love's mysterious nature.",95,Amor en tránsito,tt1095399
87,No tiene datos,No tiene datos,François Lamoureux,Trevor Boris,No tiene datos,No tiene datos,Trevor Boris: Over Easy,tt10966982
88,3.6,No tiene datos,Patrick Levy,Patrick Levy,"A young man decided after paying his duty to the society decide to change his life and to become a filmmaker. Only one problem : he's nobody, works for a gangster and doesn't know the cinema industry. His solution blackmailing and better be the right guy.",81,Les princes de la nuit,tt1101041
89,5.5,24,Barry W. Blaustein,Peter Himmelstein,Four siblings implode after the release of a book written about them.,79,Peep World,tt1103273
90,5.4,10,Robert Luketic,"Bob De, Rosa","Una mujer de vacaciones conoce al hombre ideal, con el que rápidamente se casa. De vuelta en casa, su idilio se desvanece cuando descubren que sus vecinos podrían ser asesinos a sueldo contratados para matarlos.",100,Killers,tt1103153
91,7.8,No tiene datos,Tim Clarke,Tim Clarke,"'Cornhole: The Movie' is a mockumentary feature film that examines the lives of four groups of quirky characters who have sacrificed, exploited, and shamed those in their lives to gain a certain level of minimal fame in the Cincinnati-based sport of Cornhole.",90,Cornhole: The Movie,tt1103269
92,3.7,45,Russ Parr,Russ Parr,An aspiring pimp struggles to make a mint after inheriting his late uncles escort service and discovering that competition on the streets is fierce.,80,Something Like a Business,tt1103255
93,No tiene datos,No tiene datos,No tiene datos,No tiene datos,No tiene datos,No tiene datos,No tiene datos,tt1107319
94,5.9,86,Geoff Marslett,Geoff Marslett,"The discovery of life on Mars places a robotic expedition and a manned mission in a race to the Red Planet. On the way we discover that love - biological, spiritual, and even mechanical - can flourish in all kinds of ways.",90,Mars,tt1109488
95,No tiene datos,No tiene datos,Uros Raztresen,"Miomir Cikic, Uros Raztresen",Farmer Pajo spends his days in the countryside visiting more or less interesting fellow citizens.,90,Prigode kmeta Pajota,tt11157618
96,7.0,No tiene datos,Jeff Tremaine,Jeff Tremaine,"Los chicos de Jackass han vuelto, así que prepárate para contemplar, desde una distancia segura e higiénica, las increíbles, explícitas y no censuradas actividades de estos entrañables idiotas.",94,Jackass 3D,tt1116184
97,5.9,36,Jim Kouf,Jim Kouf,"A prisoner escapes and hides in a barn. He sees a woman dragging a body out the house and into a car trunk. He helps with the body, that turns out to be alive.",105,A Fork in the Road,tt1117386
98,5.6,12,Taylor Hackford,Mark Jacobson,Un drama centrado en una pareja casada que abrió el primer burdel legal en Nevada.,117,Love Ranch,tt1125929
99,6.5,56,Roger Michell,"Aline Brosh Mc, Kenna",Una productora de televisión novata acepta el reto de resucitar un programa matinal en apuros con copresentadores enfrentados.,107,Morning Glory,tt1126618
100,7.1,50,Dimitar Mitovski,Delyana Maneva,"A concert to celebrate Bulgaria joining the EU is being planned at the Embassy in London and it is the job of VARADIN, the new ambassador, to ensure the Queen attends. But with corrupt staff, criminal gangs operating out of the kitchen, falling in love with a stripper and a little misunderstanding with a PR firm that provides look-alike royalties - his simple task tur... Leer todo",107,Mission London,tt1127702
101,5.5,No tiene datos,Abram Cox,Doug Steinberg,A mild-mannered secretary discovers that she has a talent for murder as she ascends the corporate ladder.,92,Miss Nobody,tt1129427
102,6.2,No tiene datos,Yule Caise,Yule Caise,"SWISHBUCKLERS is an offbeat comedy about three macho martial artists who join an all-gay production of The Three Musketeers in order to save their dojo. The trials and tribulations of our heroes give new meaning to the phrase, ""All for one, and one for all!"" Swordplay and jokes ensue amidst a touching story of friendship and tolerance.",87,Swishbucklers,tt1130092
103,7.8,No tiene datos,María Costa,María Costa,"Maria Costa, Called ""The Latina Lucille Ball"" honors traditional values in a modern world. Onstage, Costa portrays an array of outrageous and hilarious characters from her ultra-macho father to her overly critical mother-in-law. Maria brilliantly captures the diverse rhythms of Latin life with irresistible style to her journey of self-discovery.",69,Maria Costa's Macho Men and the Women Who Love Them,tt1131737
104,6.3,47,Morag McKinnon,"Colin Mc, Laren","Alfred is 64. He's lost touch with his family and a threat to his health makes him realise he wants to make amends. The more he tries to do right, the more he does wrong, and as his past comes back to haunt him, he is forced to face up to what his life means to him. Rounding Up Donkeys is the second film in Sigma and Zentropa's three feature film concept 'Advance Part... Leer todo",78,Donkeys,tt1134846
105,9.1,No tiene datos,V. Nagaraj,"C. Kumaresan, Jasmine Michael, K.K. Khanna",No tiene argumento,120,Undercover Rascals,tt11361770
106,3.1,No tiene datos,James Abadi,"Adam Abadi, James Abadi",A frustrated music business executive accidentally creates a band called F**K and has to find a group of talentless no-hopers to take on the music industry and become rock stars.,No tiene datos,The Story of F***,tt1137482
107,4.1,40,David A.R. White,Jill Gatsby,"An Amish man comes to Hollywood to be a missionary, and gets cast as Satan on a nighttime soap opera.",90,Holyman Undercover,tt1144546
108,6.8,No tiene datos,Janis Streics,"Rudolfs Blaumanis, Janis Streics",The old soldier of the emperor Rudolfs Rudups becomes very unmanageable when he is hit by Amor's arrow.,114,Rudolfa mantojums,tt1149607
109,6.0,No tiene datos,Pau Martínez,"Javier Domingo, Ferran Folch",The city council would like to evict a group of squatters in order to use their Big House for a community center.,97,El kaserón,tt1149619
110,5.1,93,Ricky Reidling,Ricky Reidling,A gay romantic comedy about a guy who loses his job and out of desperation takes a job in a cabaret club as a drag performer.,102,Heels,tt1160371
111,4.8,No tiene datos,David Serrano,Olga Iglesias,Claudia es una atractiva y emprendedora treintañera que forma una familia ideal junto a su marido y su hijo.,96,Una hora más en Canarias,tt1161411
112,7.9,No tiene datos,Timothy Alan Richardson,Michael Kouroubetes,Celebrity teen wizard Harvey Putter and his friends learn that they are merely characters in a best-selling book and must magically escape their world before the final chapter.,100,Harvey Putter and the Ridiculous Premise,tt1161421
113,5.6,55,Dick Maas,Dick Maas,Muestra a San Nicolás como un obispo asesino que secuestra y asesina a niños cuando hay luna llena el 5 de diciembre.,88,Saint,tt1167675
114,2.4,50,Gabriel Bologna,Camille Solari,Carmela and Lynne are femme fatales who have a vendetta for cheating men. These Boston girls tour the city on a mad killing spree with a taste for blood and homespun justice. When they catch their cheating boyfriends red-handed things get nasty. But their vengeful rampage doesn't stop with cheating men!,90,Boston Girls,tt1168696
115,No tiene datos,No tiene datos,David Thompson,David Thompson,No tiene datos,No tiene datos,"Qué Sera, Sera",tt11704124
116,6.3,No tiene datos,David Robert Mitchell,David Robert Mitchell,Cuatro jóvenes navegan por el paraíso suburbano del metro de Detroit en busca de amor y aventuras el último fin de semana del verano.,96,El mito de la adolescencia,tt1174042
117,5.6,44,Jacob Chase,Marja-Lewis Ryan,"Two couples in their twenties, who are struggling to find substance and meaning in their lives and relationships, meet by happenstance in a New York City Irish tavern called The Four-Faced Liar.",87,The Four-Faced Liar,tt1174693
118,6.5,No tiene datos,Álvaro Curiel,Álvaro Curiel,"A Mexican worker tries to migrate to the United States posing as a Cuban immigrant, but destiny has something else in mind for him.",102,Acorazado,tt1174933
119,7.7,33,Keren Atzmon,Jennie Allen,"A coming-of-age-at-thirty, offbeat comedy about a flaky writer who loses her sister's cat and falls for the aspiring rockstar who joins her on a wild search in the East Village",93,Failing Better Now,tt1176728
