,0,1,2,3,4,5
81,No tiene datos,Jon Elliott,Jon Elliott,"Directed by Jon Elliot and Produced by Paper Frame Pictures, Her Water Drum is a compelling Short Film that brings to light the issues of Missing and Murdered Indigenous Women and Girls. In this Film Jolene (a Mohawk Mother), struggles to deal with the world and her son; as she fights to find her missing Daughter.",17,Her Water Drum
82,No tiene datos,Rye Inglis,Rye Inglis,"A short drama directed by Rye Ingles about two girls, Casey (Phoenix Cross) and Brooke (Mikayla Williamson), in love. Just when they think everything is great, a huge secret is revealed leaving the girls shocked to their core.",No tiene datos,She's Not for Me
83,No tiene datos,Ram Dinesh Sharan,Ram Dinesh,No tiene argumento,No tiene datos,Fever
84,No tiene datos,No tiene datos,No tiene datos,No tiene datos,No tiene datos,No tiene datos
85,No tiene datos,Dave Perry,Dave Perry,"""A chance encounter between a woman doing last minute shopping, and a butcher who is closing up shop for the evening, results in some unexpected help, a life altering decision, and preparation of one more meal.""",6,One More Meal
86,No tiene datos,Vic Roxas,No tiene datos,No tiene argumento,No tiene datos,Woodside
87,No tiene datos,Charles Brown,Charles Brown,No tiene argumento,No tiene datos,You
88,No tiene datos,Frederico Evaristo,Frederico EvaristoBob Yang,No tiene datos,14,From the Other Side
89,No tiene datos,Maxime Simone,Maxime Simone,No tiene argumento,No tiene datos,Les jours heureux
90,6.4,Jimmy Ren,"Jimmy Ren, Jack Vang",A short horror film about a young woman who's haunted by a mysterious creature tapping at her window.,8,A Tap At The Window
91,No tiene datos,Chi Wang,Chi Wang,Abby's birthday took a turn for the worse when she decided to go bake a cake at her neighbor's house.,11,Red Velvet
92,8.5,Anna Akana,Anna Akana,National Suicide Prevention Hotline 1-800-273-8255 / Text HELLO to 741-741 Crisis Text Line / When I've Wanted to Die is a short film adapted from a collection of memories of when a girl has wanted to die.,10,When I've Wanted to Die
93,No tiene datos,Maria Goldrin,Maria Goldrin,No tiene datos,11,Madal pilvelõhkuja/The Low Skyscraper
94,No tiene datos,M W Daniels,M W Daniels,Emily Murray is at her 25th birthday and something very odd happens to her. She is born with a special power in her hands and her mysterious mother is the only person in emily's life to hold's the secrets.,9,Emily's Hands
95,No tiene datos,Ariel Orama López,"Jonathan Cardenales, Ramiro 'Ramir' Delgado Ruiz, Ariel Orama López",No tiene argumento,No tiene datos,BÓXERS
96,No tiene datos,Roberto Gonzalez Mendieta,"Regina Arizpe, Roberto Gonzalez Mendieta","Have you ever thought about what goes through a suicidal person's mind? Isabela is a young woman who lives a routine life, but a series of problems combined with the feeling of loneliness cloud her hope and desire to live ... In ""Anhedonia"" a comparison is made between depression and an eclipse in which the picture looks darker every time. People who commit suicide gi... Leer todo",No tiene datos,Anhedonia
97,No tiene datos,Arjun Narayan,Chhavi Kumar Joshi,No tiene argumento,No tiene datos,I'm Sorry Mum'ma
98,No tiene datos,Caelia Adams,Caelia Adams,A woman goes to the beach searching for answers.,No tiene datos,Whisper
99,No tiene datos,Buchi Ogbonnaya,Rai Dandaura,No tiene argumento,No tiene datos,4:13
100,5.8,Simon Doutreleau,Simon Doutreleau,"After the death of their child, Thomas, Louis and Anna try to overcome this tragic event. While one of his father's friend try to help him, Louis begin to fall in madness by following instructions coming from a mysterious creature in his dream.",25,Out in the Woods
101,No tiene datos,Yue Zhang,No tiene datos,No tiene datos,12,Flow
102,No tiene datos,Máté Artur Vincze,Máté Artur Vincze,"Weeks after giving up her child for adoption, the birth mother pays an unexpected visit to the adoptive parents.",7,Desiree
103,No tiene datos,Hang-Sang Poon,Leung Lai Fan,"Despite happy appearances, Mr and Mrs Man are a quarrelling couple. Each keeps telling the other how much they have sacrificed for the family, not realising that their fights have been witnessed by their five-year-old daughter, Kei. One terrible day Mrs Man runs away. Mr Man then finds her in a park. The wall that divides them seems to be coming down.",No tiene datos,Green Dust
104,No tiene datos,Viet Nguyen le Hoang,Viet Nguyen le Hoang,No tiene argumento,25,Ban Cùng Phòng
105,No tiene datos,Daniel Faustino,"Ricardo Coelho, Bruna Lima","The young Franz Zimmerman have a intense relationship with Miguel and lives the dilemma of being forced by his father, a respected colonel, to follow a career in the army or live your dream: be a writer.",No tiene datos,Última Noite em Viena
106,No tiene datos,Jamie BuCher,"Jamie Bu, Cher, Lyindaa Russell",No tiene argumento,No tiene datos,A Good Day
107,No tiene datos,Kevin Kailash Muthiah,"Suveer Bhambhani, Kabir Thapar","Rukhsaar, an educated girl who bears the brunt of ""Triple Talaq."" She tells us how Quran never propagated all this but she wonders how this became a practice? What does she do? How does her Life progress?",No tiene datos,Triple Talaq
108,No tiene datos,Camden Ferrell,Camden Ferrell,"In Part 2 of the Rabbit's Blood Trilogy, we are introduced to Miss Ella, a kind and mysterious being.",2,Miss Ella
109,No tiene datos,Camden Ferrell,Camden Ferrell,"In the finale to the Rabbit's Blood Trilogy, a story unfolds over the course of thousands of years. The mystical Miss Ella and Rabbit Hole are further explored, and many questions are answered.",10,Skewed Conception
110,No tiene datos,James Rohan,James Rohan,"Cathy, a middle aged widow, decides to take the plunge into online dating in hopes of finding new life. When her daughter (Denise) comes home for a visit, they find themselves in the uncomfortable position of discussing the elephants in the room: life, love, and regrets.",23,Remember
111,No tiene datos,Sheffield Leithart,Sheffield Leithart,No tiene argumento,No tiene datos,My Megan
112,No tiene datos,Toni Nagy,Toni Nagy,"Mary finds herself in an unusual predicament. Flooded by patriarchal influence, she must cling to the raft of friendship - and rely on her own will and conviction - to stay afloat.",No tiene datos,Mary's Wise Men
113,No tiene datos,Alexis Devillers,Alexis Devillers,"An encounter of two individual, Kat and Allen attaches by time one and the other deeply, they share a lot of memories, even identical experiences, but more than that something inexplicable submerges in their relationship, In a confusion of reality and delusion, Kat is faced to make a choice.",23,Kat
114,No tiene datos,Haider Hazim,Haider Hazim,No tiene datos,No tiene datos,9 Am
115,No tiene datos,Clair Bishop,No tiene datos,No tiene datos,8,Wake Up Girl
116,No tiene datos,Ethan Christy,Ethan Christy,No tiene argumento,16,Billy's Restaurant
117,No tiene datos,Kelechi Okoro,"Jim Munoz, Kelechi Okoro",A restless spirit lives on.,3,The Ghost of Hamlet's Father
118,No tiene datos,Renata Mellão,Renata Mellão,A woman is haunted by memories of the agony and ecstasy of an intense love.,7,Dream of Love
119,No tiene datos,Tristan Bera,"Tristan Bera, Joshua Olsthoorn","A girl wanders like a flaneur in the center of Athens: a Constitution, a War Museum, a Town Hall. She wears sunglasses and black clothes. ""Kills"" a boy outside the Galaxy bar and describes, sitting on the balcony of an apartment in Exarchia, the way the Molotov bomb is operating - it is an incendiary and not an explosive mechanism, he says.",38,The Girl from Exarcheia
120,No tiene datos,Barbara Balestas Kazazian,Barbara Balestas Kazazian,"A clandestine cloud in transhumance. that is what Clement's body was amongst this nocturnal fauna. And this is Jude, who is the daylight which sparks in the dark, the glow that warms up the bodies. who will mentor Clement in this night of potentialities, towards redemption.",24,Nous sommes nuit ils sont jour
121,No tiene datos,Gabriela Amerth,Gabriela Amerth,"A visual and audible representation of what it feels like to struggle with anxiety. Anxiety is a 1 minute film made in the subject's apartment, it has 2 sentences, one at the beginning and a closing line.",1,Anxiety
122,7.2,Louisa Baldwin,Louisa Baldwin,No tiene datos,3,Fifteen
123,No tiene datos,Marc Eikelenboom,Marc Eikelenboom,No tiene datos,No tiene datos,Hoe Dan?
124,No tiene datos,Tanmay Chowdhary,"Tanmay Chowdhary, Zuzanna Korbal, Emilia Piech","""Color of November"" is a contemporary portrait of the relationship between two young women in the month of November in Poland.",No tiene datos,Kolory Listopada
125,No tiene datos,Seif Allah Bouchrara,Seif Allah Bouchrara,A foreigner who kept being ignored by his colleagues tries to commit suicide.,6,The Power of Inclusion
126,No tiene datos,Patrick Nicholls,Patrick Nicholls,"Two people, one Eastern European, one British, wake in a dimly lit room - How and why they are there is uncertain, until the clock begins.",5,FORTY-EIGHT.ONE
127,No tiene datos,Umut Durmusoglu,Umut Durmusoglu,No tiene datos,No tiene datos,Dar Açi
128,No tiene datos,Laurie J. Gardiner,Laurie J. Gardiner,No tiene argumento,7,Leave Me with a Smile
129,No tiene datos,No tiene datos,No tiene datos,No tiene datos,6,The Power of Inclusion
130,No tiene datos,Lily Marks,Lily Marks,A short film which explores the world of sexual assault that lies within the fashion industry of the 1970s.,15,Jane
131,7.2,Emiliano Cunha,Emiliano Cunha,No tiene argumento,12,Endotermia
132,No tiene datos,Noirin Drumm,Noirin Drumm,No tiene argumento,No tiene datos,The Veil
133,6.8,Leonardo Martinelli,Leonardo Martinelli,The daily life of a young woman from Rio de Janeiro witnessed through her cell phone screen.,10,Lembra
134,No tiene datos,Ilshat Saetov,Ilshat Saetov,No tiene datos,12,Where is 'me'?
135,No tiene datos,Igor Aleksov,Aleksandar Rusjakov,Marko is a vampire who suddenly starts to dream and wake up before the sunset...,20,Dream of Blood and Soul
136,8.2,Roberto Bermeo,Roberto Bermeo,"Greece is a girl who lives with her best friend Alex in Lima, a city in Peru that constantly rejects young people and dreamers. These two are leading a journey of self-discovery, demonstrating the true meaning of their friendship.",16,Greece
137,5.3,Beatrice Gibson,Beatrice Gibson,"Reframing our current political moment in intimate terms, Gibson's urgent snapshot of social calamities doubles as a document of practical resistance. Pauline Oliveros' music and the words of poets CAConrad and Eileen Myles imbue images of street riots and refugee migration with graceful complexity.",21,I Hope I'm Loud When I'm Dead
138,No tiene datos,Hamidreza Abolhelm,"Hamidreza Abolhelm, Nima Taghizadeh","In a world where time determines all, Masoud Parsa, a teacher, sets foot in the Day Allocation Department to try and make a request work out.",12,Extension
139,No tiene datos,Anastasia Kratidi,Anastasia Kratidi,No tiene argumento,14,Vassileia
140,No tiene datos,Damaris Fuentes-Lorenzo,Damaris Fuentes-Lorenzo,No tiene argumento,No tiene datos,Cada cuarenta segundos
141,No tiene datos,Marko Brkic,Marko Brkic,No tiene argumento,20,Ljetne jagode/summer strawberries
142,No tiene datos,Keon Abbott,Keon Abbott,"A parable tale about the hardworking fisherman Beau and what transpires after the rich businessman Brad makes him an offer he can't refuse. Based upon the short story ""The Fisherman and the Businessman"" written by author Paulo Coalho.",No tiene datos,Beau
143,No tiene datos,James La Motta,James La Motta,No tiene argumento,No tiene datos,As a Woman
144,6.6,Pauline Amelin,Pauline Amelin,No tiene argumento,15,Show
145,No tiene datos,Alessandro Manieri,Alessandro Manieri,"Giulia is a young woman of rare beauty, as rare is her disease: Huntington Corea. It's a degenarative disease invisible at the moment. But soon the disease will show her effects as it has happened to Giulia's father. Everybody knows we have to die. But nobody knows how. Giulia, instead , knows it, and this is the theme around wich the docu works. However Giulia's stor... Leer todo",5,Guardami ora
146,No tiene datos,Maricio Mo Zapata,"Anthony Ruiz, Maricio Mo Zapata",An incident that has taken place over nine years has resurfaced and everyone involved becomes RATTLED.,No tiene datos,Rattled
147,No tiene datos,Cole Brewer,Cole Brewer,"Abraham Sweet, a trailer trash man raised by TV decides the only way he can become famous is to rob a bank and become an outlaw.",12,The Unknown Outlaw
148,No tiene datos,Josef Gacutan,Josef Gacutan,"An elderly man tries to repair his relationship with his estranged son, but a mysterious black figure gets in the way.",No tiene datos,'Wag mo 'kong kausapin
149,No tiene datos,Rémi Galas,Tiphaine Sintes,No tiene datos,36,La vie nous appartient
150,No tiene datos,Mervine Anjelo Aquino,No tiene datos,"The filmmaker and his mother recount memories of their old homes and the family's repetitive experiences of packing (and unpacking), moving, and accumulating things over the years. They try to imagine and describe a ""dream house"" and await the possibility of owning a house in the future.",15,Baguio Address No. 10
151,No tiene datos,Sharly Sharza,Sharly Sharza,"Following a nasty break up, two aliens named, Carlisle and Finnigan meet up in a diner to re-evaluate their relationship and shared future.",No tiene datos,Mercury on Fifth
152,7.5,Shiladitya Moulik,Shiladitya Moulik,"Two girls accidentally find out that in addition to the man they unknowingly share, they also share a lot of gifts from him. Including a game of ludo which resembles their lives in some manner.",10,Ludo
153,No tiene datos,Alex Torres,Alex Torres,No tiene argumento,No tiene datos,Madugo ang gabi
154,No tiene datos,Steven Thai,"James Le, Jessica Tan, Steven Thai",No tiene argumento,4,My Escape
155,No tiene datos,Shaira Advincula,Shaira Advincula,"In a culture where designs are dreamt about and to be woven only by women, a T'boli man is challenged to face a cultural norm as the abaca goddess shows him a pattern to weave in his dreams.",15,Tembong
156,No tiene datos,Klarisse Purugganan,Klarisse Purugganan,"A visual tale, through possibly both dreams and delirium, where an orphan boy plagued with loneliness and alienation find inspiration in an ill roommate as they journey to find a real home.",16,Balai
157,No tiene datos,Don Senoc,Don Senoc,Jun is a farmer who lives near a pineapple field with his mother Dita and his brother Mako. His aunt from Manila who can't bear a child offers to adopt Mako with a promise to give him a good life. Jun and Mako face their impending separation and think of ways they can spend every minute together.,No tiene datos,Sa among agwat
158,No tiene datos,Stephen Lopez,Stephen Lopez,No tiene argumento,No tiene datos,Gabi ng kababalaghan
159,No tiene datos,Kevin Garcia,Richard Rivera,No tiene datos,6,Feed Me
160,No tiene datos,Dicle Ozcer,Dicle Ozcer,A young writer discovers a novel that carries similarities to her own life.,10,Heart and Soul
161,No tiene datos,Shivani Mehra,Shivani Mehra,No tiene argumento,No tiene datos,Sadharan - a little thought
162,No tiene datos,Douglas Hamilton,Douglas Hamilton,No tiene datos,7,Closer to Heaven
163,No tiene datos,Camila Ortega,Camila Ortega,No tiene argumento,No tiene datos,Mar
164,No tiene datos,Chris Corbett,Ruane van Rooyen,No tiene argumento,23,Die Ongenooides
165,No tiene datos,Douglas Hamilton,Douglas Hamilton,No tiene datos,6,Lawrence and Bently
166,No tiene datos,No tiene datos,No tiene datos,No tiene datos,No tiene datos,No tiene datos
167,No tiene datos,Johannes Pieter Nel,Johannes Pieter Nel,No tiene argumento,23,Benjamin
168,No tiene datos,Renzo Montoya,Renzo Montoya,"A young artist is on the verge of an existential crisis to the point that he needs to take photographs of people to assume their identities and thoughts, thinking to have a better perspective of art each time. However, he will realize what are the limits of his mind, when taking a picture of a stranger, will let him know how much self-control he has.",17,The White Camera
169,No tiene datos,Eric Eghigian,Eric Eghigian,No tiene datos,3,Impact
170,No tiene datos,Ziv Mamon,Meitar Farhat,"A family of Eritrean refugees gets a confirmation for their asylum request. A few minutes before their flight to Canada, the airport clerk tells them they can't get on the plane because their baggage is overweight. Their emotional argument is the trigger that causes the mother of the family to leave her children and her husband and go all the way back home to find wha... Leer todo",5,Sophie
171,No tiene datos,Alexander Shigorin,No tiene datos,"A young and ambitious debt collector suddenly learns that the license of his bank has been revoked and that he's been fired. Having received a teaching degree in university, he applies to work at a school, encountering unexpected problems.",22,Click-Click
172,No tiene datos,Libby Hakaraia,Libby Hakaraia,The last gravedigger in a Maori community struggles to find a younger man to whom he can pass on his skills and knowledge.,16,The Grave Digger of Kapu
173,No tiene datos,Davis Rohrer,Davis Rohrer,No tiene datos,24,The Edge With Us
174,No tiene datos,Leticia Cáceres,Angela Betzien,"Billie visits her ageing father in jail, revealing that her childhood in his care was not as safe and happy as he might have believed. Will she get her revenge?",8,The True History of Billie The Kid
175,No tiene datos,Dominic Hure,Dominic Hure,No tiene argumento,No tiene datos,Feathers
176,No tiene datos,Prashant Rana,Prashant Rana,"In a small town of Pre independence of India .A beloved slave of a mistress gets mischievous and fall in love with a lady in town , what next his ruthless mistress done to them ..",30,Gustaakh
177,No tiene datos,Jack McLoughlin,No tiene datos,No tiene datos,9,Cruising
178,7.2,Flo Van Deuren,Flo Van Deuren,"Bamboo plants only bloom once, but always simultaneously. The same thing happens to a bunch of thirteen-year-old girls when a mysterious man sets foot on their territory. One by one the girls have to let go of their carefree summer.",19,Bamboe
179,No tiene datos,Lizzy Hallam,"Mara Huf, Muiwa Ibe, Nicole Miners","Three Young women, clash in a bar in the aftermath of a funeral.",No tiene datos,Our Ladies of 121st Street
180,No tiene datos,Allie Fuller,Jana CandrakovaNikol HeinzlováIgor Nacik,No tiene datos,6,Aquarium
181,No tiene datos,Emily Houghton,"Emily Houghton, Carly Watt, Lisa Wisniewski","When a girl notices a lonely light flashing across the lake, she gathers the neighbourhood kids and all the lights they can find, to send back an answer to a boy who needs a friend.",No tiene datos,Little Lights
