,0,1,2,3,4,5
31,7.7,David O. Russell,David O. Russell,"Tras pasar un tiempo en una institución mental, el exprofesor Pat Solitano vuelve a casa de sus padres e intenta reconciliarse con su exmujer. Las cosas se complican cuando conoce a Tiffany, una misteriosa chica con sus propios problemas.",122,El lado bueno de las cosas
32,6.9,Paul Andrew Williams,Paul Andrew Williams,"El jubilado gruñón Arthur honra la pasión de su esposa fallecida al unirse al coro al que ella solía pertenecer, un proceso que lo ayuda a construir puentes con su hijo separado, James.",90,Una canción para Marion
33,6.0,Andy Fickman,Lisa Addario,"Artie Decker y su esposa Diane, aceptan hacer de canguros de sus tres nietos. Pero cuando los problemas del siglo XXI entran en colisión con los métodos de la vieja escuela de Artie y Diane, lo que une a la familia es aprender a transigir.",105,Abuelos al poder
34,6.1,Beni Atoori,Beni Atoori,"Three sisters, a Madame, Guru and Poker Junky, desperately trying not to fall victim to their own cons, are joined by Raphael who is hell bent that the whole world revolves around his phallus, in a hilarious search for true contentment. A fun filled spoof on happiness, the Movie will shock and awe.",80,Chasing Happiness
35,No tiene datos,Bo-Han Chiu,"Bo-Han Chiu, Arthur Tsou","Wei plays an aspiring singer who is at a crossroads, wondering whether to pursue his career as a musician. At this difficult time, a giant bird enters his life, giving him a new perspective in assessing his future. This fantastic creature, the nature of whose existence we are free to speculate about, builds a strong relationship with the central character, but begins ... Leer todo",84,The Bird Who Saved the World
36,4.5,T. Lee Beideck,T. Lee Beideck,A group of high school kids enjoy many adventures throughout their formative tenth grade year.,98,Sophomore
37,6.2,Tim Burton,Seth Grahame-Smith,"Barnabas Collins, un vampiro cautivo que es puesto en libertad, vuelve a su hogar ancestral donde sus disfuncionales descendientes requieren su protección.",113,Sombras tenebrosas
38,4.2,Steven Kampmann,"Steven Kampmann, Matt Smollon","A struggling writer, Ray Wyatt, acquires fame in an unusual way when a notorious serial murderer, named the Karaoke Killer, steals his car and the newest draft of his script.",94,BuzzKill
39,6.2,Steve Marshall,"Keith Black, Mark Troy","This was produced to show, in concept, the style and tone of a full feature movie and aiming to showcase the comedy aspects of the final production.",No tiene datos,Driving Me Crazy: Proof of Concept
40,No tiene datos,Vitaliy Shepelev,"Aleksandr Kopylov, Natalya Romashova","This touching film tells about the unusual day of one provincial family. A father decides to give his 9-year-old son a gift - to show him around Moscow. At the same time, this is a holiday for his father, to whom Moscow seems to be a romantic and unattainable dream, a city where everything is, by definition, correct, thoughtful and beautiful. However, as is typical fo... Leer todo",97,"Zdraste, priekhali!"
41,No tiene datos,Uros Raztresen,"Miomir Cikic, Uros Raztresen",Farmer Pajo is facing new problems.,90,Prigode kmeta Pajota 2
42,No tiene datos,Imdad Husain Usmani,"Raza Murad, Kajal Nishad, Jiten Purohit",No tiene argumento,No tiene datos,Sej Taiyar Sajaniya Farar
43,6.6,J.J. Harting,"J.J. Harting, Kurt Vonnegut Jr.",No tiene argumento,115,A Man Without a Country
44,8.2,Jilani Saâdi,Jilani Saâdi,"ONS refuses to attend her own wedding with HALIM, her husband to be, experiences this as a great injustice and shame. He locks himself in his house a few days then decides to abandon his social life to join a group of marginalized. Punished and locked up by her parents, they managed to escape to roam the city. HALIM and ONS find themselves in this life of wandering. W... Leer todo",90,Winou Baba?
45,8.5,Ibrahim Letaïef,Ibrahim Letaïef,"Desperate by the refusal of the film commission, Chahine wonders how he will do to find the money necessary to achieve the police comedy he has in mind. He then has the crazy idea to go find him where he is: in the trunk of a bank. Aided by his two accomplices (his producer and his cinematographer), he scripted and directed the burglary, The accomplished heist, the th... Leer todo",110,Cinecitta
46,3.9,Mohsen Damadi,Mohsen Damadi,No tiene argumento,No tiene datos,Ghabrestane Gheyre Entefaei
47,3.9,Karan Razdan,"Aneesh Dev, Karan Razdan","Mr Bhatti is a delusional character who wins a trip to the Lake District out of the blue, he comes over, with a group of Indian tourists visiting the Lake District. Bhatti is under the impression that he has been called over by George W.Bush, for supposed peace talks being the delusional man he is. But its not just the scenery and the possible meeting with Bush, which... Leer todo",No tiene datos,Mr Bhatti on Chutti
48,No tiene datos,Tony McKenzie,"Alan Bruce, Tony Mc, Kenzie","Blan Alaruce from WTACSS 24 News interviews underground musicians Mingwie Yellscream and Carless Sultana, also known as The Fock N Rollers, in order to find out more about their music and the men behind it.",88,The Fock n Rollers
49,4.8,Stephen Frears,"D.V. De, Vincentis","La ex bailarina privada Beth aspira a ser mesera de cócteles en Las Vegas cuando se enamora de Dink, un jugador de deportes.",94,Doble o nada (Lay the Favorite)
50,6.9,Tim Burton,Leonard Ripps,"Cuando el querido perro de un niño muere repentinamente, intenta devolverle la vida al animal mediante un poderoso experimento científico.",87,Frankenweenie
51,6.6,Christina Beck,Christina Beck,"Kristabelle, still living with her Mother cuts herself to feel alive. Her Mother, addicted to plastic surgery also cuts herself trying to maintain her youth. Through the help of a pot smoking young lover, a newly sober British stand up comic and Chinese medicine they all find that love can be more than skin deep.",85,Perfection
52,8.3,Kalle Kujala,Joni KoivuniemiKalle Kujala,No tiene datos,75,Teippaaja Pro elokuva
53,No tiene datos,Dinesh Chaudhary,Babita Choudhary,An urban girl comes to the village and falls in love with a naughty boy from the village and the boy comes to her in the city and her and become a servant himself in girl's house do agree her parents for wedding.,147,Had Ho Gayi
54,3.9,Kim Sønderholm,Kim Sønderholm,Jimmy Duncan is a film director working on his fourth film but things are not exactly going as planned.,90,Little Big Boy
55,5.6,Donald Rice,Mary Henely-Magill,"A young woman frets upstairs in her family's country manor on her wedding day, fearful she's about to marry the wrong man. Downstairs, her fiancé and her former lover grow increasingly anxious.",89,Cheerful Weather for the Wedding
56,5.5,Nikkhil Advani,Nikkhil Advani,A group of animals plan a trip to Delhi in order to ask the parliament why the forest they live in is on the verge of destruction.,96,Delhi Safari
57,No tiene datos,Kayje Nogue,Kayje Nogue,"The World Junior Lumberjack Competition has begun, and these young guns are ready to win.",50,Young Guns: The Lumberjack Edition
58,4.7,Nguyen Quang Minh,Thach Tuyen,No tiene argumento,90,Hello Cô Ba
59,No tiene datos,Sergey Sentsov,"Aleksey Koryakov, Sofya Rayzman, Vitaliy Kishchenko","Alexey, an ordinary guy from Novocherkassk, moves to Moscow. His work as a Patrol officer is not well paid, and doesn't offer lots of career opportunities. Alexey knows that Moscow is a city of successful people, so when he meets a college girl Dasha, he pretends a student of the law faculty, a good son of wealthy parents with a luxury apartment in the Moscow downtown... Leer todo",90,From Moscow or Not
60,6.5,Marcelo Galvão,Marcelo Galvão,"Three young people with Down syndrome decide to run away in search of three simple wishes: Stalone wants to see the sea, Aninha looks for a husband and Marcio needs to fly.",94,Colegas
61,8.4,Giorgi Liponava,Qeti Devdariani,No tiene datos,No tiene datos,My Wife's Friend's Wedding
62,6.2,Nicholas Stoller,Jason Segel,"Exactamente un año después de que Tom Salomón salga con Violet Barnes, él la sorprende con un anillo. Por todas las cuentas, Tom y Violet estan destinados a ser felices para siempre. Sin embargo, esta pareja de novios se encuentra cada vez con mas tropiezos en el largo camino hacia el altar.",124,Eternamente comprometidos
63,5.5,Ric Halpern,"Lucy Angelo, Cameron Bender, Ronnie Gene Blevins","The year is 2022, and the world is at peace. George W. Shrub, the infamous former leader of the free world, is struggling to release a new biography about his ""fantastical adventures in office."" At his biographer's recommendation, Shrub journeys to the U.N. American Presidential Museum in order to research his presidential career. Once there, Shrub crosses paths with ... Leer todo",No tiene datos,Commander and Chief
64,4.3,Deborah Brock,P.D. Hughen,"The Dunderheads are an eccentric Montana family who've been in the mountains for far too long. Now one step ahead of the law, matriarch Grandma Ira flees to Canada with her two wildly dysfunctional teenage grand kids, across the American West into a comic collision with the mainstream world. Montana Amazon is a both funny and poignant fable on the nature of the human ... Leer todo",88,Montana Amazon
65,8.3,Yoichi Fujita,"Rie Kugimiya, Daisuke Sakaguchi, Tomokazu Sugita","Demonic Vice-Commander of the Shinsengumi, Toushirou Hijikata, acquires a cursed sword--one which completely rewrites his personality, morphing him from a hard-boiled, no-nonsense cop into a hopeless otaku. As he struggles to break the curse, an ambitious new member of the police force, Itou Kamotarou, seizes the opportunity to depose Hijikata in his bid for power wit... Leer todo",No tiene datos,Yorinuki Gintama-san on Theater 2D - Shinsengumi Douran Hen
66,No tiene datos,Vijay Patkar,Rajesh Bamugade,Namya a ladies tailor whose capable of healing people suffering from sprains and aches with his kick but does not charge for it as he considers it as a boon given by god for him.Surekha a Lavni dancer suffers an injury while dancing and is treated by Namya she falls in love with him but her father lays three conditions in front of Namya to marry her.The first would be... Leer todo,No tiene datos,Lavu ka laath
67,7.1,Mark Andrews,Brenda Chapman,"Con la determinación de forjar su propio camino en la vida, la princesa Mérida desafía una tradición que trae caos a su reino. Mérida dependerá de su valentía y sus habilidades como arquera para deshacer una maldición bestial.",93,Brave (Indomable)
68,3.0,Adam Protextor,Louis Edward Doerge,"After his friends slip him LSD on a camping trip, ultra-nerdy Nancy hallucinates that they are evil beings and begins to systematically hunt them down. Meanwhile, a mysterious corporation monitors the entire event for their own hidden purpose.",82,Dropping Evil
69,No tiene datos,Om Prakash Rao,Gururaj M. DesaiPriyadarshi PulikondaSarigama Viji,No tiene datos,No tiene datos,Dakota Picture
70,5.5,Sean Anders,David Caspe,"Donny tuvo a su hijo Todd cuando era un adolescente y lo crío como padre soltero hasta que cumplió 18 años. Tras años sin verse, el mundo de Todd se colapsa cuando Donny reaparece justo antes de su boda.",116,Desmadre de padre
71,7.2,Phil Lord,Michael Bacall,Dos policías de bajo rendimiento son enviados a un instituto local para mezclarse con los alumnos y acabar con una red de drogas sintéticas.,109,Infiltrados en clase
72,No tiene datos,No tiene datos,No tiene datos,No tiene datos,No tiene datos,No tiene datos
73,6.3,Tom Gustafson,Cory Krueckeberg,"A stifled, small-town man stuck in a dead end life, runs away to Mexico to be a mariachi singer. MARIACHI GRINGO is a musical tour-de-force exploring the reality of ""following your dreams"" across cultural, personal, social and geographical borders.",107,Mariachi Gringo
74,No tiene datos,Sang-Beom Gu,Sang-Beom GuHa-Yong JungSung-ho Kim,No tiene datos,85,Hwaiting paemili
75,No tiene datos,Nicolaas Rahoens,Nicolaas Rahoens,Ons Dorp is a romantic comedy about the resident of a small village who are preparing their first talent-show.,No tiene datos,Ons Dorp
76,6.3,Mirko Galea,Carlos DebattistaAbigail Mallia,No tiene datos,134,Deceduti Wara L-Ahhar Tad-Dinja
77,5.8,Shimon Dotan,Netaya Anbar,"In New York City in 1980, Dexter Mitchell plays half-willing big brother to his neighbors, a trio of exchange students from the People's Republic of China.",105,Watching TV with the Red Chinese
78,6.1,Jonas Åkerlund,Chris Millis,A man is surrounded by strange events and odd neighbors in this adaptation of Chris Millis' novel.,96,"Mi vecino, el asesino"
79,9.0,Sherrie Provence,Ken R. Wheeler,"A moonshiner turned sheriff's deputy helps bring in the bad guys armed with duct tape. The local newspaper reporter now has some major events to write about, and a sleepy little Alabama farming community is making the news all over Dixie.",98,Dixie Times
80,6.8,Eric Darnell,Eric Darnell,"Los animales de Madagascar se unen a un circo europeo en apuros para regresar a Nueva York, pero se ven perseguidos por un oficial psicótico de control de animales.",95,Madagascar 3: De marcha por Europa
81,No tiene datos,Yashwant Choughule,"Priya Arun Berde, Ravindra Berde, Trupti Bhoir",Bhakti Yog society residents have planned for renovation where everyone will have to shell 5 Lakhs per flat Ram Kaka Kulkarni is against shelling such big amount and leaves the meeting he gets sleepless nights and a wild dream.Ram Kaka sees that his society members are arranging for final rites and finds that its none other then his as one of the members had got call ... Leer todo,No tiene datos,Uchla Re Uchla
82,8.1,Avital Ash,Avital Ash,"Anna plans to commit suicide on her 21st birthday, but is interrupted by her best friend's surprise visit. The day takes a turn when an impromptu birthday party begins.",83,Kaleidoscope
83,6.8,Andrew Louis,Andrew Louis,"A guy who is just a flirt, finds his true love and has to change his identity to make it a success.",145,Leelai
84,5.2,Valerie Breiman,Valerie Breiman,Two neurotic strangers meet amid an odd group of passengers on the red-eye flight from LA to New York on Valentine's Day.,95,Overnight
85,5.7,Akiva Schaffer,Jared Stern,Cuatro hombres que forman un grupo de vigilancia del vecindario como un tipo de cambio a sus rutinas cotidianas se encuentran defendiendo la Tierra de una invasión alienígena.,102,Los amos del barrio
86,6.7,Lorene Scafaria,Lorene Scafaria,"Cuando un asteroide se acerca a la Tierra, un hombre se encuentra solo después de que su esposa se marcha presa del pánico y decide hacer un viaje por carretera para reunirse con su novia de la secundaria.",101,Buscando un amigo para el fin del mundo
87,8.2,Zander Schaus,Jeff Shakoor,"Daisy Apple and Tulip Orange become friends unaware that they are different : apples and oranges, people who 'hate' each other.",No tiene datos,Apples and Oranges
88,9.2,Satish Jain,Satish Jain,No tiene argumento,No tiene datos,Laila Tip Top Chhaila Angutha Chhap (chhattisgarhi)
89,4.4,Kevin Duffy,Andy Fitzgerald,"When a boy meets a girl, meets a boy, meets a poodle... Well, you get the picture.",78,Becoming Blond
90,4.7,Yoon-suk Choi,Adam Beechen,"Tres niños que viajan en el tiempo a 65 millones de años atrás, son atrapados por un dinosaurio.",86,Dino Time
91,4.4,Dan Rosen,Dave Gibbs,A group of slackers who are living for free in a rock star's mansion find their sweet lives threatened when the musician decides to sell his pad.,77,Freeloaders
92,6.8,Jill Jaress,Jill Jaress,"Six lives change when two strangers wake up in bed together - not knowing who they're with, where they are or how they got there.",90,The One-Nighter
93,5.9,Adam Shankman,Justin Theroux,Una chica de pueblo y un chico de ciudad que aspiran a vivir el sueño de Hollywood se conocen en el Sunset Strip.,123,Rock of Ages. La era del Rock
94,No tiene datos,No tiene datos,No tiene datos,No tiene datos,No tiene datos,No tiene datos
95,5.1,Tom O'Brien,Chris Messina,"Dave returns to his hometown on the Massachusetts coast for his father's funeral, where his reunion with two old friends provides a healthy dose of reality.",81,Fairhaven
96,No tiene datos,Brent Lonkey,Brent Lonkey,No tiene datos,84,BBA: The Unsung Ballad of the Rise & Fall of the World's Worst Band
97,7.7,Tim Russ,"Calix Lewis Reneau, Aydrea Walden","A raucous comedy of errors about a singer stuck in a dead-end job who sees his last, best shot at rock stardom threatened by freak accidents, movie theater politics, stressed-out relationships and a janitor who is much more than he seems.",90,A Night at the Silent Movie Theater
98,No tiene datos,Carlos Daniel Malavé,Moncho Martinez,"El Inspector Rodríguez renuncia a Venevisión y decide montar su propia agencia de detectives junto a su inseparable compañero ""Pacheco"".",90,¡Qué Detectives!
99,8.9,Jose A. Renteria Jr.,Jose A. Renteria Jr.,"""Betty I Am"", an inner city Dark Comedy/ Drama and character piece, is set within the burrows of East Los Angeles. A brother and sister reunite following a five-year hiatus and are forced to stumble towards reconciliation. Paul, a drunken vagrant, finds only awkward inconvenience as Betty is unwittingly thrust into his care. Forced to contemplate the self-afflicted de... Leer todo",93,Betty I Am
100,4.0,Ali Tavakkol Nia,"Akbar Abdi, Afsaneh Chehreh Azad, Mehran Ghafoorian","The film is a life story of a simple man whose job is to guard (played by Akbar Abdi). A party enters their house and this person confuses him with one of the warlords, and this mistake and displacement creates new situations in this man's life.",No tiene datos,Ja Be Ja
101,5.9,Matthias Hoene,Matthias Hoene,Una banda de ladrones de bancos se abre camino para salir de Londres y huir de los zombies.,88,Invasión zombie
102,6.0,Jeff Pearson,Jeff Pearson,The Unbookables is a narrative documentary about stand-up comics who have spent their careers pushing limits--on stage and off. Relegated to small venues and touring in a crappy van through the Midwest they careen between the desire to succeed and the reality that there may be nothing left to lose. Road life is far from glamorous: comics come and go and cruel pranks a... Leer todo,95,The Unbookables
103,No tiene datos,Savannah Teller-Brown,Chris Love,No tiene argumento,No tiene datos,Miss Communication
104,2.9,Róbert Koltai,Ivo Marloh,"After witnessing a murder, a hapless pair of misfits escape their own near death experience by posing as male strippers - only to find themselves neck deep in even bigger trouble.",90,Magic Boys
105,4.8,Sujith-Sajith,"Vamanapuram Mani, Sujith-Sajith","Four friends kidnap a rich industrialist's daughter to make money. However, things take a turn when they are forced to break into a house and hold everyone inside hostage.",110,Kaashh
106,6.4,Fisher Stevens,Noah Haidle,Un par de hombres de edad avanzada intentan reunir a la vieja pandilla por última vez antes de que uno de los muchachos cumpla su última misión - matar a su compañero.,95,Tipos legales
107,5.8,Brian Roberts,"Mike Nawrocki, Brian Roberts, Mark Steele","In this Veggie-version of a holiday classic, Junior Asparagus stars as The Little Drummer Boy, a lonely child who finds the true meaning of Christmas when he stumbles upon the birth of the baby Jesus. A story of hope, love and forgiveness, this timeless tale will warm the hearts of children everywhere.",54,VeggieTales: The Little Drummer Boy!
108,5.7,Brad Peyton,Brian Gunn,"Sean Anderson se alía con el marido de su madre en una misión para encontrar a su abuelo, que se supone que ha desaparecido en una isla mítica.",94,Viaje al centro de la Tierra 2: La isla misteriosa
109,No tiene datos,Manny Bains,Pinaki Ghosh,No tiene argumento,No tiene datos,Captain India
110,6.6,Lee Toland Krieger,Rashida Jones,Una pareja se divorcia e intenta mantener su amistad mientras ambos persiguen a otras personas.,92,Celeste & Jesse Forever
111,6.8,Barry Sonnenfeld,Etan Cohen,El agente J viaja en el tiempo a los inicios del MIB en 1969 para evitar que un alienígena asesine a su amigo el agente K y cambie la historia.,106,Men in Black 3
112,7.9,Justin Wood,Justin Wood,"Bounty hunters Jim Sawyer and Ted Brown encounter financial difficulties after provoking a lawsuit while trying to capture the son of a powerful businessman. Needing cash for the settlement, they accept a mysterious woman's offer to track down Kenneth Lay, the deceased Enron CEO. Although skeptical at first, they soon expose a conspiracy involving mysterious governmen... Leer todo",107,The Search for Kennyboy
113,6.0,Jackie Chan,Frankie Chan,Un hombre busca por todo el mundo un conjunto de artefactos místicos : las doce cabezas de bronce de los animales del zodíaco chino.,122,Chinese Zodiac: La armadura de Dios
114,No tiene datos,Carlos Zapata,Carlos Zapata,"Vittorio, Martin and Luis live locked in an apartment, too paranoid to leave. Renting their vacant room to young María will be the spark that ignites the delicate dynamics between the three peculiar individuals. Will their surreal existence of being psychologically imprisoned change forever? This is the final degree project of Director Carlos Zapata.",No tiene datos,Pequeños vagos
115,5.0,Fred Holmes,Sunny Virmani,"An Indian-American consultant, Karan, is sent to Texas to save the finances of a Texan farm. While working on the project, Karan falls in love with an all-American, sweet, beautiful and tough Texan farm girl: Heather.",90,Heart Land
116,No tiene datos,Aleksandr Gamirov,"Mahfuza Babatullaeva, Saida Rametova",No tiene argumento,90,Qudajonlar
117,8.9,Alisher Uzakov,Jahongir Ahmedov,No tiene argumento,87,Endi dadam boydoq
118,6.7,Peter Lord,Gideon Defoe,El Capitán Pirata se embarca en una misión para derrotar a sus rivales por el premio al pirata del año.,88,¡Piratas!
119,5.5,Bill Corbett,No tiene datos,"Mike, Bill, and Kevin riff three shorts made by K. Gordon Murray who also made Santa Claus as featured on MST3K. They take place in Santa's Village, home of Puss in Boots, Stinky the Skunk, Ferocious Wolf, Merlin and the Easter Bunny.",No tiene datos,Christmas with RiffTrax: Santa's Village of Madness
120,6.8,Dustin Hoffman,Ronald Harwood,"En un hogar para músicos jubilados, el concierto anual en honor del nacimiento del compositor Giuseppe Verdi se ve interrumpido por la llegada de Jean, una diva atemporal y exmujer de uno de los residentes.",98,El cuarteto
121,No tiene datos,Dieudonné,Dieudonné,No tiene datos,No tiene datos,Rendez nous Jésus
122,7.2,Peter Ramsey,David Lindsay-Abaire,"Cuando el espíritu maligno Pitch lanza un asalto a la Tierra, los guardianes inmortales se unen para proteger la inocencia de los niños de todo el mundo.",97,El origen de los guardianes
123,4.5,Parrish Redd,"Alfonzo Everett, Parrish Redd, Alex J. Smith","Life is never dull at the hippest pawn shop in the city, but when jewelry is stolen, the all-star pawn crew engage in outrageous bust-a-gut fun to save the store and the hood.",104,Pawn Shop
124,6.6,Peter Hedges,Peter Hedges,"Una pareja sin hijos entierra un caja en el jardín que contiene sus deseos de tener un hijo. Pronto, Timothy llama a su puerta.",105,La extraña vida de Timothy Green
125,No tiene datos,Niji Akanni,Niji Akanni,No tiene argumento,No tiene datos,Heroes & Zeros
126,4.1,Greg Garthe,Scott Donnelly,Underachieving cousins Phil and Danny O'Donnell are forced to run the family pub to save their eccentric uncle from jail time and financial ruin.,85,Last Call
127,5.7,Miguel Bonilla,Miguel Bonilla,"Pablo Kramsky is a journalist who, in possession of a gun, starts to commit crimes of vengeance so he can write about them and succeed in his job. He then creates a character, a national hero, famous for battling crime.",No tiene datos,Diente por diente
128,2.6,Tobias Canto Jr.,Tobias Canto Jr.,After a campus-wide zombie outbreak a slacker college student must protect his younger brother while becoming the unlikely leader of a small band of quirky survivors.,86,Dorm of the Dead
129,5.9,Roger Michell,Richard Nelson,"The story of the love affair between FDR and his distant cousin Margaret ""Daisy"" Suckley, centered around the weekend in 1939 when the King and Queen of the United Kingdom visited upstate New York.",94,Hyde Park on Hudson
130,No tiene datos,John Paget,No tiene datos,"Captures the true, tragicomic story of an Elvis impersonator who collapsed and died on stage in mid-performance at the annual 'Elvis Explosion' contest in La Crosse, Wisconsin. The mythic story of Larry Hass, from birth to death, unfolds in heartwarming, heroic fashion, set against the backdrop of his hometown (La Crosse), a midwestern shangri-la of mystic natural bea... Leer todo",51,Larry Has Left the Building
131,No tiene datos,Alyandra,Ricky HarunOlivia Lubis JensenDewi Rezer,No tiene datos,75,Potong Bebek Angsa
132,5.7,Boris Rodriguez,Boris Rodriguez,"A painter struggling for inspiration finds an unexpected muse after he accepts a teaching position in a small town and becomes the caregiver to Eddie, a seemingly docile art student with a rare sleepwalking condition.",90,Eddie
133,6.4,Chris Renaud,Dr. Seuss,"Un niño de 12 años busca ganarse el afecto de la niña de sus sueños. Para encontrar lo que ella anhela, debe encontrar al Lorax, una criatura gruñona pero encantadora que lucha para proteger su mundo.",86,Lorax: En busca de la trúfula perdida
